sentiment,review_body,product_category
1,I ordered this top on a whim and never in a million years did i expect to love it as much as i did. while it is by no means work appropriate  it is a fun top for a night out. the material is light and flowy and it drapes perfectly over my post baby tummy. i tried it on with jeans  shorts and white pants and it really looked great with all items. wish this came in a few other colors. for reference  i am a 36dd and a size 12  took the large and it looked flowy without being maternity topish.,Blouses
1,This shirt runs true to size. i'm an xl and it fit perfectly! that is my first reason for loving it. it is super soft and so comfortable i don't want to take it off! the trim inside the cuffs and button line is navy with large white polka dots  which i love. the ruffle of the shoulders i'm not super wild on but it does give it a touch of different. the color of the photo is very accurate. i love the muted pink in the plaid.,Blouses
1,"I saw the neutral motif in the ""there's only one left"" hanger in the store and tried it on. it's very pretty  cute and sweet. i wish the bottom flares out a bit more like a baby-doll look  but that's just my preference. i tried on size 2 and it's a bit tight in the chest area (i'm 5'2""  34b  26 waist  36 hips)  so i think size 4 would fit very well. despite the pretty flower design  in my personal opinion  i think the price does not justify a pretty basic tank top and fabric.",Blouses
-1,I saw this dress online and really wanted to love it... unfortunately it wasn't at all as expected in person.  as the previous reviewer mentioned it is extremely itchy material  which was already pilling on many of the dresses displayed in the store. the neck was extremely tight; a problem i've never encountered with any retailer dress. additionally it seems to have a kangaroo pocket located right underneath the bust line  which protruded in an unflattering way. the pocket is not at all not,Dresses
-1,Was so excited to get this dress because i thought it was cute and i love flowy and big dresses - however this looks huge. the material is not soft so it doesn't fall well. it just stays proofed out so from the back you look like a giant!!,Dresses
-1,I was so excited to order this dress. i loved that it had a normal neck  nice length  and there wasn't a hole in the back. but this dress is just plain awful. the top fit tight across the bust  it flattened me out like i was wearing a too tight sports bra. then the back zipper puckered and bumped up like there is too much zipper for the fabric. i could not get the zipper to lay flat. the fabric is itchy and very cheap feeling. on top of it all the colors are much brighter than they appear in the,Dresses
-1,This dress is not flattering. the slip is very small and short and the dress is big and billowy. like the other reviewer said  its more like a tablecloth that you stick your head through. it was really hard to figure out how to cinch in the waist but it didn't help regardless. the length is not accurate either. i would say it's a pretty short dress (mid thigh) but that probably depends on the person. it also makes you look very horizontal. i was really excited about this dress but it's getting r,Dresses
-1,"When i ordered this dress  i thought to myself ""hmm  it seems a little close to showing some side boob  but maybe that's just the angle of the photo."" flash forward to me trying it on in my home - ""yep  that's some side boob."" it is very low cut under the arms. if you're super slim  this might be a good look  but on a curvy gal with some boobs  it was obscene. also  i'm a solid 12 in most retailer brands  so i ordered a l and an xl just in case. the xl wouldn't even zip up. returning.",Dresses
-1,I ordered this online  and took it back the day i got it. i could not fit the neck hole over my head  therefore i couldn't even see how it truly fit. i had high hopes for this dress.,Dresses
-1,I had a dress that felt like this in 1993. it jiggles  even if you don't. no amount of spanx can cure a dress jiggling of its own accord. the neckline that i had thought would be classic instead veered into frumpy. all in all i felt like it belonged in a discount store surrounded by polyester brethren.,Dresses
-1,"I purchased this and another eva franco dress during retailer's recent 20% off sale. i was looking for dresses that were work appropriate  but that would also transition well to happy hour or date night. they both seemed to be just what i was looking for. i ordered a 4 regular and a 6 regular  as i am usually in between sizes. the 4 was definitely too small. the 6 fit  technically  but was very ill fitting. not only is the dress itself short  but it is very short-waisted. i am only 5'3""  but it fe",Dresses
-1,This colors and fabric of this dress are beautiful and i really wanted to love it but from the chest to the hips there is too much fabric and it give you no shape at all. it had to go back.,Dresses
0,I was really pulling for this dress to work because it's beautiful  however the neckline is cut so extremely low that i had to return. it's much higher on the model than in real life. the petite length was still far too long  so additional hemming required  otherwise fit was true to size (5'3  130 lbs  size 6p),Dresses
0,The fabric is very thin. it isn't see through  just thin. i would have kept this if the full length shell wasn't longer than the dress.,Dresses
0,"I was disappointed when the dress came in the mail. it was much shorter on my than on the model in the picture. (i am 5'5"") the detail of the dress and fabric shown in the picture is not as prominent in person which was also disappointing. the dress is just average. i didn't not return the dress...it looks much better on my younger sister (who is the same height) so i gave it to her. i guess it's just not the right dress for me.",Dresses
0,I expected this dress to be a much better fit and quality overall--the size small fit me fine--i'm about 140 and small in the chest  but the zipper was incredibly cheap and the dress could've draped in a more attractive way. if this dress could be in cotton and given more consideration to the fit and drape  it'd be worth it  but it's going back.,Dresses
0,I wanted to love this dress but the sizing was too large for me  overwhelming my frame. i am very petite; for reference  5'2  24 waist  30  and usually get an xxsp or 00p but even the 00p was too large in both the waist and especially in the shoulder area. at minimum for fit  i would have had to have the dress taken up but required too much alteration. the skirt is not lined which i found disappointing  given the price. the colors and handkerchief like hem is really cute though but i returned.,Dresses
0,Although i am small (size xs on top  27 waist) this dress is not flattering if have any fat on your body....i would not recommend it.,Dresses
0,Dress runs very large. quality is great and the pockets are a great addition.,Dresses
0,"I fell in love with this dress when i saw it online and due to the ""slim fit "" i ordered a size up -- a 2 petite up from my normal 0 petite. when i received it  i was surprised about two things: 1) the material was kind of puffy (not bad  just weird)  and 2) it was too big on top - rare for a petite size - even though it fit everywhere else. i wanted to love it  but had to return. would be gorgeous for someone else!",Dresses
0,I love  love  love this absolutely stunning dress. the only problem was that the zipper was very difficult to maneuver  and when it finally went up  the watch it was attached the lining of the dress made a bump in the dress  which was very unflattering on an otherwise very flattering dress. i tried on multiple versions of this dress and had the same design issue with each. i ended up returning it because it bothered me so much.,Dresses
1,I'm 5'3 135lbs with hour-glassy figure and the medium was a too tight from the waste down (but perfect on the top - i'm a 36c). pretty dress overall and looks true to color in photo  but have to return.,Dresses
1,I like dresses with sleeves as those are more appropriate for work for me. this dress is a smooth material and the asymmetrical bottom adds just a little extra something. i got it in my normal size and i do find it looser/not meant to be body hugging again making it work appropriate.,Dresses
1,The cheshire dress is lovely. the fit is true to size and the quality is awesome. i love the way the sleeves lay on my shoulders. i would definitely recommend this dress!,Dresses
1,"The dress is very pretty  however the description is deceiving. i purchased it not just for the look but because it was listed as ""silk"" but that is not exactly true. the under-slip is silk but the outer dress  what you see is definitely not. it is a cheap  thin material on top  skirt is stiff   not loose or flowy as the picture would have you think. i will keep it  very happy i did not pay full price.",Dresses
1,The dress is very comfortable but runs a little big. i normally wear a 4/s and the small fits but doesn't have great shape. i'll keep it and wear with flip flops casually but was hoping it could transition out too. it's just not as fitted as it would need to be,Dresses
1,I am a huge fan of absolutely everything tanvi kedia designs. her clothing is intricate  boho  colorful and fits like a dream. when i saw this online i had to have it. it just arrived today and its everything i imagined it to be! the fit is more like the studio pics and less like the first catalog pic. the dress definitely has some room  but it isn't quite as swingy as the catalog photo. i have a lot of curves  so it may be swingy on a more slender figure. i ordered an xl mostly because of the s,Dresses
1,Don't listen to other reviews- this runs large not small.  i have a 34d and i usually wear a 4 in most retailer dresses.  therefor after reading the reviews  i ordered a 6.  i was swimming in it.  just ordered a 2p and 2 to see which will fit.  the design is stunning and it's very well made.  i'm hoping for the perfect fit once the dresses arrive.,Dresses
1,Beautiful dress! it looks fresh  feminine and the quality of the fabric is very nice.,Dresses
1,The photos on the website do not do the dress justice. i am into texture  pattern and contrasting fabrics  this dress is gorgeous in person; not only has pattern  but the pattern is woven  so there is this wonderful texture as well that i had to try. some of the reviews said the dress runs large  others that this is a bodycon dress. i ordered a size 8 and my usual 10. both were figure hugging but the size 10 allowed this to be office wear while still being flattering. i am fairly straight  small,Dresses
-1,I couldn't wait to try this on this sweater.  sadly  it was too large in all ways.  the sleeves are adorable  but the ruffle overwhelmed my arms. this was much longer on me than the model.  it stopped mid-thigh.  the quality seemed fine  but it is a thin sweater.,Fine gauge
-1,It's thin knit with a unique and pretty neckline  but unfortunately it's scratchy will not last. i just received it and it looks like it would fall apart after a few wears. it's a nice shade of offwhite at least. for me it's a no that will get sent back straight away.,Fine gauge
-1,I wanted to love this sweater and it has some nice distinctive features that make it more interesting than your average cardigan. unfortunately  however  i found that flared in an unflattering manner over my stomach. the chest fit well - though it was very low cut - but then if i buttoned the sweater it made me look like at least three sizes larger.  the quality seemed okay  but a bit thin and i was afraid that this would not hold up for long.,Fine gauge
-1,I assumed at the price point this would be a high quality t-shirt/sweater. unfortunately  it is made of cheap looking material that is 50% acrylic and see-through.,Fine gauge
-1,This sweater was not as featured in the picture. the front is completely cropped while the back is regular length. the front barely reached the middle of my stomach. also  the color was not as vibrant as shown in the picture. this sweater will be going back.,Fine gauge
-1,I ordered the orange in size xl. the fit on me matches the model other than being a little shorter in length.  the quality is bad. i ordered two of these sweaters and both arrived  new in the packages  with one having a small hole. the knit is so thin  as is the base material. the arms are basically see-through. it doesn't offer any warmth because of the thinness. i layered a long-sleeved white tee underneath which helped. the edge of the sleeves stretched out within an hour. i also had two area,Fine gauge
-1,"This top looks great on the model -- a petite frame  small-busted body.  i am 5'2"" and have a large bust and curvy hips. this top hit in all the wrong places. the front looks very cropped and frumpy  if you have a large bust. the width of the top of very boxy.  the top is very soft and comfortable and the color is pretty.",Fine gauge
-1,I tried on this sweater...love the flowing top  and it looked like the seam would hit right under my bustline.  wrong.  the seam came right across my bust on a medium; sized up to a large  same thing. this shouldn't happen! not sure who this would actually flatter.  the sweater is high quality  and the colors are perfect. the fit needs work.,Fine gauge
-1,I wanted this sweater to work but sadly it failed. first  the pink was way to sheer for my liking. the sheerness caused a weird color overlap on the stomach area. then the band at the bottom was too tight causing a weird ballooning affect. a shirt underneath could work but it takes away from the beauty of the knit. the soft pink is gorgeous but not good for medium to light skinned folks.,Fine gauge
0,This is a very sweet/soft sweater  however it runs very large and is very boxy! i would say at least size down 1-2 sizes! i wanted to love them but i had to send it back!!,Fine gauge
0,I ordered the yellow color way expecting it to be a mustard color. it seemed to have a greenish tint to it and didn't look right on me. also the pockets didn't lay right so the flower didn't look right.,Fine gauge
0,Very pretty and has potential. only down side - i thought it was more like a cardigan with sleeves but it's really more of a shawl and the photos and descriptions are misleading,Fine gauge
0,This very lightweight cardigan looked like an eggplant color online. it's brown with a hint of burgandy. not bad  but unexpected. i am very short -waisted  and this lies very high on my torso. the seams are unfinished  and it looks cheaply made. glad i got this on sale.,Fine gauge
0,While this is gorgeous in person  if you have a larger bust the v-neck will look really weird. because its so deep  it gets skewed(i'm a d cup). if only the v were 1 or 2 inches higher! unfortunately it's going back.,Fine gauge
0,I want to like this sweater. the color is lovely  more of a grayish blue  and the design is nice. the quality is amazingly good  as it's thick without being too thick and very soft. but the design is odd and quite unflattering! i got the xsmall but it's two big. the sleeves have a very low shoulder so they almost have a wing like look. it doesn't look like it does on this model. the waist area is a lot bigger  so it does sit on your hips  however the sweater isn't slimming cause of the odd shape,Fine gauge
0,I was very excited when i saw this in a perk email and immediately went to order it. unfortunately  the stock image of this pullover is misleading. it's boxy (image makes it seem like it's form-fitting) and the weave/mesh is much thicker and open in person. as shown  you do need a cami underneath. i ordered this in a small and medium since it's an online exclusive and there were no other products by on the road to see reviews of to know how their tops fit. i wanted to love this. i didn't think i,Fine gauge
0,I bought this sweater in dark grey in the store. i really loved it at first - it's very soft and cozy and fits really well. i especially like that it's long enough to cover my tummy and butt when i wear skinny jeans or leggings. however  the other reviews that mention it gets fuzz all over the place are accurate. i doubt i would have bought this if i had read them first. it even has dark grey fuzz in the inside of the sleeves. however  my biggest disappointment is that after just one wearing  th,Fine gauge
0,I love belted sweaters  but this was way too low in front. it hung almost to my knees in front. i'm not a fan of that look.,Fine gauge
1,"I like this sweater very much. it's short but not too short  and soft but not fluffy. the design is a little interesting rather than plain and the colors (i ordered the tan) are great for me  a redhead. i'm 5'3""  125 lbs and don't like clingy tops so i took a m and it's perfect. really cutewith jeans.",Fine gauge
1,"Cashmere is soft as a feather  yet warm  easy to wear and the pointelle stitches are lovely. i feel lovely wearing this and i'm really not that kind of ""lady"". so  if you imagine a side of yourself wanting to try out feeling lovely  bite the bullet and buy this cardigan. it does run small in my bust area  but all the rest fits well.",Fine gauge
1,As-advertised crop sweater is a great length. design is an iron-on velvet texture rather than intarsia. weight of sweater is great for transitional weather.,Fine gauge
1,This is a great sweater. i gave it four instead of five stars because it runs unusually wide and is a bit boxy. if you like your clothes a little big  this is the sweater for you!,Fine gauge
1,Wanted to get this sweater in the red but the size has been sold out for a long time  then saw the navy go on sale and snatched it up. great fit  cropped shorter than most sweaters very classic looking and perfect for layering into the fall.,Fine gauge
1,I really love the way this sweater fits. the only negative is that it fits rather tight on the shoulders?i have broad shoulders and the sweater fits fine when my arms are down but a little tight when i raise them. but the size small fit well everywhere else  so i'm keeping it. the orange color is pretty but kind of glows a bit  but wish i'd also gotten it in the blue-green. very pretty and feminine  great with pants or skirts. i'm usually a small or medium (often just for shoulders) but got this,Fine gauge
1,I bought the green motif and the colors are beautiful and look just like the picture. as others have mentioned  it does have a high slit on the side that has a tendency to separate and look bulky. i just put a couple of small hooks to keep it together. i normally would wear a medium or large  but based on other reviews  i ordered down to the small and it was perfect. since i live in the south where it can stay quite warm through fall  it will be a great transitional piece.,Fine gauge
1,The delicate detail at the neckline on this sweater adds such a pretty yet subtle touch. i layer it with various camis for a different look each time. i ordered the dark yellow and it is a very unique and rich shade  and goes well with so other many colors. looks gorgeous with a mint or aqua cami for a peek a boo effect. classic yet unique! runs very true to size.,Fine gauge
1,I ordered this top in the purple color and was pleasantly surprised that it was more of a soft periwinkle. the weave is quite open and sheer which is what i had hoped for. the fit is great and the bottom flows quite flatteringly. overall the sweater is soft and very feminine  but careful  it snags easily.,Fine gauge
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
1,"This is a great layering piece. got in orange color and it is really a beautiful shade. i am 5'3"" 36dd and went with a m. very flowy  nice length (more on the short side)  and not see through. i am able to wear without a bra  where the ruffles cover any possible chance of seeing anything ;). i have a black came from another brand and have literally worn it to pieces. goes well under a jacket for work  a kimono  wrap  denim jacket  just anything! i was a bit disappointed it is ""dry clean only""  h",Intimates
1,Great bra. fits well. works under tighter t-shirts. just be aware that the straps do clearly read calvin klein. more mauve than pink.,Intimates
1,I am not a fan of unlined bras  but this one was so pretty i had to try it. the lace doesn't look cheap  but overall i wouldn't have wanted to pay full price. it fits well and the support offers a nice shape (no cone!). i might go back for the other color.,Intimates
1,Soft fabric  waistband is flat no vpl!lace trim cuts in a bit for a little vpl- but still nice lightweight  barely there but full coverage. would buy again!,Intimates
1,Runs large  but very beautiful and sexy! the straps are elastic so better to size down.,Intimates
1,I was so excited to receive this in the mail. it fits true to size and is extremely flattering. so glad that i made this purchase,Intimates
1,This bra is beautiful. the lace is so lovely and soft and looks fabulous on. my only criticism is it runs very small. i am a 32 a and order the size 1 and it is snug... just order a size up (or two) and it should be perfect.,Intimates
1,I love panties. i love the prettiest  softest  most adore-worthy panties i can find. these are my favorite boy shorts--i can always put them on and feel pretty. no weird tight spots and the lace has a perfect amount of stretch. im a mom and my body isn't perfect anymore  but these panties give me confidence  with perfect coverage. i choose them more often than any other in my lingerie drawer. my only warning: wash these pretties as delicates  or the lovely lace colors will fade.,Intimates
1,It is so beautiful and just as shown in the pictures! very elegant! i normally wear a small and it hung off me just a little.,Intimates
-1,This was completely different than i expected. the xs/s was so large that it looked messy. unfortunately i had to return it.,Jackets
-1,This looks great on the model but when it arrived  i couldn't believe it was the same jacket. it looks a bit like a really loose garbage bag on me and no amount of adjusting drawstrings is going to fix it. i really wanted to like it  but even the xs/s was too baggy. also a bit worried based on other reviews that it isn't actually a rain jacket and wont keep you dry.,Jackets
-1,I wanted this jacket to fit on me like in the photo  but i guess my frame was still to petite. the fabric was also on the cheap end,Jackets
-1,I ordered this online and was disappointed when it arrived. it didn't look quite like it does in the photos online. it also runs small. i returned it because i did not feel it was worth the high price.,Jackets
-1,I really loved this vest online and decided to try it on in store. it was really cute on and fit nicely so i purchased it (in my normal size) and took it on a vacation. first time wearing it and the color transferred all over my white shirt even though it says it is pre-washed. i am very disappointed considering how expensive this was. overall  it is very cute but it may ruin your clothes so beware!,Jackets
-1,"I bought this jacket based on how it looked on the model  and from the reviews. i found it to be super big  and unflattering to say the least. i'm 5""10  155lbs. i sent it back.",Jackets
-1,"I didn't receive a jacket. i received a very expensive cardigan sweater with no structural qualities to it. jackets have some structure to them. for example they might nip in at the waist a bit. this cardigan doesn't do that. it hangs in a very boxy shape. the quality is great. very light weight and i really love the little pockets and details  but i don't need/want another cardigan.     i'm 5'5""  118 lbs and got a small. the small seemed big  but i think it would have fit fine if it had more st",Jackets
-1,I wanted to love this kimono...it is such a beautiful color and would work well with so many things in my wardrobe  but alas it went back due to the strange feel of the fabric...not a soft touch and because it runs small. i bought the m/l and usually wear a 12/14 but i couldn't bring the kimono together in the front (for a belting option).,Jackets
-1,This is a cute item at a good price point  though the lack of lining in cartonnier items drives me batty. unfortunately  the wool is so itchy i could not tolerate it more than a second.,Jackets
0,I was searching for the perfect large comfy sweater for the cold winter weather ahead and i thought this would be it. it looks so cute in the pictures but when i received in by mail it wasn't what i was searching for. this sweater  like on the model  is quite large. although i wanted a large sweater  the fit of this one didn't fit well on me. it has more of a boxy feel to it. i usually wear a medium  but went with a small because i expected this to fit a little large and it still engulfed me. i,Jackets
0,Delaine blazer so many little details with a slight bit of ruggedness. loved the unmatched buttons  checkered back and fraying that gave this piece personality making it appear less stuffy. easyily dress it up or down  that being said it seems to run true to size except the arms and shoulders were very tight. i would consider going up a size if more of an athletic build. ordered a 4 but i think a 6 would have been perfect!,Jackets
0,I'm 5'6''   athletic build-thought it was cute but in the end didn't like the color of the inner sweatshirt--wish it was black or white. send it back.,Jackets
0,I like how this jacket is very versatile. you can wear it to work  or play. it does have interesting detail on it  i kept it based on the price and those details. i have the olive color. the arms are a little tight.,Jackets
0,I saw this jacket and loved the plaid and the idea of a soft sherpa material as a lining was hard to pass up1it was true to size and the material was very nice. however  the button closure was difficult as the buttonholes seemed a bit too small. also  the back of the jacket did not lay flat and it kept rolling.... i had to return this jacket.,Jackets
0,You guys  i love this so much! however  within one hour of wearing it  the back seam completely ripped. it fit me perfectly... sadly i&#39;ll have to return the damaged item. really sad it&#39;s all sold out too!,Jackets
0,I've been looking at this jacket on line and finally went to the store to try it on. i really liked the styling but the denim was quite stiff. i'd prefer a softer kind of fabric. i wonder if it would soften if it was washed. also  it ran surprisingly small. i usually take an xsmall or small but the small didn't leave me enough room to comfortably bend my arms. the medium worked better. i wonder how others feel about the fabric and and the sizing. i think i'll wait and see if this one goes on sal,Jackets
0,I'm normally a 10/12 and ordered the m/l. the body was a little big but ok. the arms are really wide. there are snaps to make them tighter but it doesn't do much. i do like the embroidery. it's an ok jacket but the fit could have been better.,Jackets
0,I snagged this the first day i wore it with my wedding ring. it is very delicate and i can't wear it when i'm with my kids because they pull on it so much! it will just me by night out wrap i guess!!!,Jackets
1,I love this jacket! it is super soft and a gorgeous color. i can wear it with jeans and a tee or dress it up and wear it to work. so versatile! a must have for the fall season!,Jackets
1,Just beautiful! the details and the colors are combined in such an usual and chic way. the fit is really comfortable too--i found that the jacket runs tts  maybe even a bit large  but i purchased my regular size so that i could wear layers. keep in mind  i have a rather large bust  so someone with a smaller one could probably size down. please note  there are no closures in the front of the jacket  but it looks almost closed when you're wearing it.,Jackets
1,120 lbs and i saw this while shopping with my sister who is 125 lbs. we both tried on the small and the fit was perfect. i didnot need a petite. it is so soft and i didnt notice other vests with different fabric from each other at all. the vest is just like the photo. its cozy. collar didn't bother me  i wear my top collar out or with a turtleneck. i waited until it was on sale because the price was a little high. but it is very soft and uniquely special.,Jackets
1,I initially ordered a small  but found it looked way more oversized then what it should look like  even considering the style. (i was swimming in fabric!) i exchanged it for a petite small  and it fit perfectly. it goes so well with so many looks  and it is going to last a long while in my rotation. looks much better in person  too. my only reservation is that unlike the original one i received  this one had many threads loose throughout  which i clipped and think will be alright  but i expected,Jackets
